time,initial_leaf_ratio,potential_leaf_area_increase,shoot_carbon,root_carbon,leaf_carbon,stem_carbon,nonstructural_carbon_mass,agefn,initial_seed_mass,seed_mass_export_limit,seed_mass_export_rate,seed_mass,initial_leaf_mass,active_leaf_mass,dropped_leaf_mass,total_leaf_mass,root_mass,leaf_mass,stem_mass,shoot_mass,total_mass,living_root_mass,living_leaf_mass,living_stem_mass,living_shoot_mass,living_total_mass,potential_carbon_demand,PD,leaf_area,green_leaf_area,green_leaf_ratio,LAI,actual_green_leaf_area,senescent_leaf_area,potential_leaf_area,dropped_leaf_area,leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation,dp,C_conc,carbon_reserve_from_seed,carbon_reserve,carbon_translocation,carbon_pool,nonstructural_carbon,carbon_supply,carbon_temperature_effect,carbon_growth_factor,carbon_translocating,carbon_translocation_rate,carbon_supply_rate,Rm,maintenance_respiration,carbon_available,Yg,total_carbon,water_supply,CO2_weight,C_weight,CH2O_weight,H2O_weight,CH2O_to_C_ratio,PD0,CDSF,CDCT,enable_cold_damage,CDM,CDS,leaf_width,LWP,evapotranspiration_supply,LAI_sunlit,LAI_shaded,Q_sun,Q_sh,A_gross,A_net,ET,gross_assimilation,net_assimilation,transpiration,vapor_pressure_deficit,conductance,SLA,LMA,DAP,date
2022-03-08T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.011807489231977277 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.2631925107680227 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.2631925107680227 g,0.2631925107680227 g,0.0 g,0.0 g,0.0 g,0.2631925107680227 g,0.2631925107680227 g,0.0 g,54.999999999945 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,4,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.013285305528110714 g,0.0 g d^-1,0.0 g,0.013285305528110714 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,2.717715851101197e-19 d^-1,0.9999999999989999,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,1960.0739333798442 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,3.422722701779424 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,1 d,2022-03-08
2022-03-09T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.028559546838541908 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.24644045316145807 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.24644045316145807 g,0.24644045316145807 g,0.0 g,0.0 g,0.0 g,0.24644045316145807 g,0.24644045316145807 g,0.0 g,54.99999999990319 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.03213403781617337 g,0.0 g d^-1,0.0 g,0.03213403781617337 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,2.8661416913226186e-19 d^-1,0.9999999999982399,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,2060.335041966256 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.8410527840584927 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,2 d,2022-03-09
2022-03-10T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.04209896715523201 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.23290103284476793 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.23290103284476793 g,0.23290103284476793 g,0.0 g,0.0 g,0.0 g,0.23290103284476793 g,0.23290103284476793 g,0.0 g,54.999999999902016 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.04736804159519825 g,0.0 g d^-1,0.0 g,0.04736804159519825 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,3.778517261792438e-18 d^-1,0.9999999999982185,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,1151.366177035011 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.2365779938286905 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,3 d,2022-03-10
2022-03-11T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.055971406877429956 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.21902859312256998 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.21902859312256998 g,0.21902859312256998 g,0.0 g,0.0 g,0.0 g,0.21902859312256998 g,0.21902859312256998 g,0.0 g,54.9999999998961 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.0629767452331042 g,0.0 g d^-1,0.0 g,0.0629767452331042 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,5.36779262322927e-19 d^-1,0.9999999999981108,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,1776.6419629790496 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.650370946943847 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,4 d,2022-03-11
2022-03-12T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.06724183942245758 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.20775816057754237 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.20775816057754237 g,0.20775816057754237 g,0.0 g,0.0 g,0.0 g,0.20775816057754237 g,0.20775816057754237 g,0.0 g,54.999999999895 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.07565777647123988 g,0.0 g d^-1,0.0 g,0.07565777647123988 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,1.3282227453041644e-19 d^-1,0.999999999998091,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,1721.1477964683922 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.662538497293957 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,5 d,2022-03-12
2022-03-13T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.07630958324154778 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.19869041675845217 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.19869041675845217 g,0.19869041675845217 g,0.0 g,0.0 g,0.0 g,0.19869041675845217 g,0.19869041675845217 g,0.0 g,54.999999999894804 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.0858604321519241 g,0.0 g d^-1,0.0 g,0.0858604321519241 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,3.2127162620669513e-19 d^-1,0.9999999999980873,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,1367.0502843719137 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.519047314886725 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,6 d,2022-03-13
2022-03-14T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.08576405943038119 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.18923594056961873 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.18923594056961873 g,0.18923594056961873 g,0.0 g,0.0 g,0.0 g,0.18923594056961873 g,0.18923594056961873 g,0.0 g,54.999999999894335 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.09649822332913154 g,0.0 g d^-1,0.0 g,0.09649822332913154 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,1.5191433354783966e-17 d^-1,0.9999999999980789,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,360.09532211256004 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,1.7293249458681923 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,7 d,2022-03-14
2022-03-15T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0947937398656715 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.18020626013432836 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.18020626013432836 g,0.18020626013432836 g,0.0 g,0.0 g,0.0 g,0.18020626013432836 g,0.18020626013432836 g,0.0 g,54.99999999989363 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.10665805164209342 g,0.0 g d^-1,0.0 g,0.10665805164209342 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,2.756485982806492e-18 d^-1,0.999999999998066,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,424.37580122168765 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,1.5705612906850641 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,8 d,2022-03-15
2022-03-16T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.10207898083978986 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.17292101916021002 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.17292101916021002 g,0.17292101916021002 g,0.0 g,0.0 g,0.0 g,0.17292101916021002 g,0.17292101916021002 g,0.0 g,54.99999999989354 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,8,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.11485510778887811 g,0.0 g d^-1,0.0 g,0.11485510778887811 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,2.083359372689025e-18 d^-1,0.9999999999980643,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,408.13339735480866 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,1.612297206046642 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,9 d,2022-03-16
2022-03-17T12:00:00.000+08:00,0.126,0.0 cm^2,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,0.1081259861512842 g,0.0,0.275 g,10.0 % d^-1,0.0 g d^-1,0.16687401384871567 g,0.03465 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.16687401384871567 g,0.16687401384871567 g,0.0 g,0.0 g,0.0 g,0.16687401384871567 g,0.16687401384871567 g,0.0 g,54.99999999989352 m^-2,0.0 cm^2,0.0 cm^2,0.0,0.0,0.0 cm^2,0.0 cm^2,0.0 cm^2,0.0 cm^2,8,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d^-1,seed,0.45,0.0 g d^-1,0.12165895164721018 g,0.0 g d^-1,0.0 g,0.12165895164721018 g,0.0 g d^-1,0.0,0.2 hr^-1,false,0.0 hr^-1,0.0 hr^-1,0.012 d^-1,0.0 g d^-1,0.0 g d^-1,0.8,0.0 g d^-1,0.0 g hr^-1,44.0098 g mol^-1,12.0107 g mol^-1,30.031 g mol^-1,18.01528 g mol^-1,0.3999433918284439,55.0 m^-2,0.9 K^-1,-15.0 °C,true,4.718857743843241e-19 d^-1,0.999999999998064,1.5 cm,0.0 MPa,0.0 mol m^-2 s^-1,0.0,0.0,798.0180420439306 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 μmol m^-2 s^-1,0.0 mmol m^-2 s^-1,0.0 g d^-1,0.0 g d^-1,0.0 g d^-1,2.1174161778125247 kPa,0.0 mol bar^-1 m^-2 s^-1,NaN cm^2 g^-1,NaN g cm^-2,10 d,2022-03-17
