time,initial_leaf_ratio,potential_leaf_area_increase,shoot_carbon,root_carbon,leaf_carbon,stem_carbon,nonstructural_carbon_mass,agefn,initial_seed_mass,seed_mass_export_limit,seed_mass_export_rate,seed_mass,initial_leaf_mass,active_leaf_mass,dropped_leaf_mass,total_leaf_mass,root_mass,leaf_mass,stem_mass,shoot_mass,total_mass,living_root_mass,living_leaf_mass,living_stem_mass,living_shoot_mass,living_total_mass,potential_carbon_demand,PD,leaf_area,green_leaf_area,green_leaf_ratio,LAI,actual_green_leaf_area,senescent_leaf_area,potential_leaf_area,dropped_leaf_area,leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation,dp,C_conc,carbon_reserve_from_seed,carbon_reserve,carbon_translocation,carbon_pool,nonstructural_carbon,carbon_supply,carbon_temperature_effect,carbon_growth_factor,carbon_translocating,carbon_translocation_rate,carbon_supply_rate,Rm,maintenance_respiration,carbon_available,Yg,total_carbon,water_supply,CO2_weight,C_weight,CH2O_weight,H2O_weight,CH2O_to_C_ratio,PD0,CDSF,CDCT,enable_cold_damage,CDM,CDS,leaf_width,LWP,evapotranspiration_supply,LAI_sunlit,LAI_shaded,Q_sun,Q_sh,A_gross,A_net,ET,gross_assimilation,net_assimilation,transpiration,vapor_pressure_deficit,conductance,SLA,LMA,DAP,date
2022-09-07T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,6.1022517579584775e-5 g,0.0,0.001 g,10.0 % d⁻¹,6.106615222047216e-5 g d⁻¹,0.0009389774824204152 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0009389774824204152 g,0.0009389774824204152 g,0.0 g,0.0 g,0.0 g,0.0009389774824204152 g,0.0009389774824204152 g,0.0 g,54.999999999999815 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,4,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,6.870914499569966e-5 g d⁻¹,6.866004907662582e-5 g,0.0 g d⁻¹,0.0 g,6.866004907662582e-5 g,0.0 g d⁻¹,0.6503473551150674,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13006947102301347 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.666598595097235e-15 d⁻¹,0.9999999999999967,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,71.29579623921042 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.4260980992125209 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,1 d,2022-09-07
2022-09-08T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00012946089599949855 g,0.0,0.001 g,10.0 % d⁻¹,5.5075906890881995e-5 g d⁻¹,0.0008705391040005013 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0008705391040005013 g,0.0008705391040005013 g,0.0 g,0.0 g,0.0 g,0.0008705391040005013 g,0.0008705391040005013 g,0.0 g,54.99999999999946 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,6.196916515507296e-5 g d⁻¹,0.0001456641224485187 g,0.0 g d⁻¹,0.0 g,0.0001456641224485187 g,0.0 g d⁻¹,0.6326643643896585,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1265328728779317 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.135293606835217e-14 d⁻¹,0.9999999999999902,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,73.94993981023553 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.40246865742771093 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,2 d,2022-09-08
2022-09-09T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0001929653214476877 g,0.0,0.001 g,10.0 % d⁻¹,5.1363101521504707e-5 g d⁻¹,0.0008070346785523124 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0008070346785523124 g,0.0008070346785523124 g,0.0 g,0.0 g,0.0 g,0.0008070346785523124 g,0.0008070346785523124 g,0.0 g,54.99999999999911 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,5.7791667913322167e-5 g d⁻¹,0.00021711671307900283 g,0.0 g d⁻¹,0.0 g,0.00021711671307900283 g,0.0 g d⁻¹,0.6364423101822795,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1272884620364559 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.0717483660333607e-14 d⁻¹,0.9999999999999838,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,74.3097347693495 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.391339693007796 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,3 d,2022-09-09
2022-09-10T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00025171045702035167 g,0.0,0.001 g,10.0 % d⁻¹,4.771702868544999e-5 g d⁻¹,0.0007482895429796483 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0007482895429796483 g,0.0007482895429796483 g,0.0 g,0.0 g,0.0 g,0.0007482895429796483 g,0.0007482895429796483 g,0.0 g,54.99999999999876 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,5.36892553975819e-5 g d⁻¹,0.00028321434476343444 g,0.0 g d⁻¹,0.0 g,0.00028321434476343444 g,0.0 g d⁻¹,0.6376813511978715,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1275362702395743 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.0516825412652692e-14 d⁻¹,0.9999999999999774,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,65.34085849792517 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.39062149510667643 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,4 d,2022-09-10
2022-09-11T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0002987422581758721 g,0.0,0.001 g,10.0 % d⁻¹,4.427496603513648e-5 g d⁻¹,0.000701257741824128 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.000701257741824128 g,0.000701257741824128 g,0.0 g,0.0 g,0.0 g,0.000701257741824128 g,0.000701257741824128 g,0.0 g,54.999999999998245 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.981638682595791e-5 g d⁻¹,0.0003361326100789985 g,0.0 g d⁻¹,0.0 g,0.0003361326100789985 g,0.0 g d⁻¹,0.6313650943798125,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1262730188759625 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.1579964365683064e-14 d⁻¹,0.9999999999999681,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,58.63048283005227 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.41481814768237424 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,5 d,2022-09-11
2022-09-12T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00034297932127712934 g,0.0,0.001 g,10.0 % d⁻¹,4.272916606633253e-5 g d⁻¹,0.0006570206787228706 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0006570206787228706 g,0.0006570206787228706 g,0.0 g,0.0 g,0.0 g,0.0006570206787228706 g,0.0006570206787228706 g,0.0 g,54.99999999999776 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.80771157186604e-5 g d⁻¹,0.00038590635006894376 g,0.0 g d⁻¹,0.0 g,0.00038590635006894376 g,0.0 g d⁻¹,0.6503473551150674,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13006947102301347 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.666598595097235e-15 d⁻¹,0.9999999999999593,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,58.925117022717195 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.4035151481185553 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,6 d,2022-09-12
2022-09-13T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00038485423755926074 g,0.0,0.001 g,10.0 % d⁻¹,4.062371238580233e-5 g d⁻¹,0.0006151457624407393 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0006151457624407393 g,0.0006151457624407393 g,0.0 g,0.0 g,0.0 g,0.0006151457624407393 g,0.0006151457624407393 g,0.0 g,54.999999999997335 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.570814507032175e-5 g d⁻¹,0.00043302229875560725 g,0.0 g d⁻¹,0.0 g,0.00043302229875560725 g,0.0 g d⁻¹,0.6603916480643213,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13207832961286425 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,7.430375493312818e-15 d⁻¹,0.9999999999999516,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,66.33076806057261 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.3902209053630188 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,7 d,2022-09-13
2022-09-14T12:00:00.000+08:00,0.126,-0.04740694210772323 cm²,0.0007086978060240241 g d⁻¹,0.00012506431871012189 g d⁻¹,0.0005002572748404875 g d⁻¹,0.0002084405311835365 g d⁻¹,0.0007712226719990262 g,1.0,0.001 g,10.0 % d⁻¹,3.737680885528509e-5 g d⁻¹,0.000575866760245009 g,0.000126 g,0.0 g,0.0 g,0.0 g,5.747949338609491e-6 g,2.2991797354437963e-5 g,9.579915564349151e-6 g,0.0006084384731637961 g,0.0006141864225024056 g,5.747949338609491e-6 g,2.2991797354437963e-5 g,9.579915564349151e-6 g,0.0006084384731637961 g,0.0006141864225024056 g,-0.00023703471053861612 g,54.99999999999692 m⁻²,1.803739909047039 cm²,1.803739909047039 cm²,1.0,0.009920569499758159,1.803739909047039 cm²,0.0 cm²,227.14900882715264 cm²,225.3452689181056 cm²,8,1,1,0,0,1,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0031765873564284673 g d⁻¹,vegetative,0.45,4.205486158424404e-5 g d⁻¹,0.00047721743073983713 g,0.0 g d⁻¹,0.0003905308793720831 g,0.0008677483101119203 g,0.0012166812773843486 g d⁻¹,0.6490530698348123,0.2 hr⁻¹,false,0.0 hr⁻¹,0.12981061396696245 hr⁻¹,0.039 d⁻¹,2.5592527764140013e-5 g d⁻¹,0.0011910887496202087 g d⁻¹,0.7,0.000833762124734146 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.839907341913975e-15 d⁻¹,0.999999999999944,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.009894685818432888,2.5883681325271357e-5,111.07417735544502 μmol m⁻² s⁻¹,46.784355601721664 μmol m⁻² s⁻¹,0.0673348591500033 μmol m⁻² s⁻¹,0.05934423515420177 μmol m⁻² s⁻¹,0.00607987986303175 mmol m⁻² s⁻¹,0.0031765873564284673 g d⁻¹,0.00279962191125703 g d⁻¹,0.1720628322135208 g d⁻¹,0.410900356520028 kPa,0.18641943730362073 mol bar⁻¹ m⁻² s⁻¹,78451.45297868043 cm² g⁻¹,1.2746736510689674e-5 g cm⁻²,8 d,2022-09-14
2022-09-15T12:00:00.000+08:00,0.126,0.06844415202601839 cm²,0.003007554053421633 g d⁻¹,0.0005307448329567588 g d⁻¹,0.002122979331827035 g d⁻¹,0.0008845747215945979 g d⁻¹,0.0014315358608785768 g,1.0,0.001 g,10.0 % d⁻¹,5.345889048427293e-5 g d⁻¹,0.0005456389094687945 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.00017093860285289695 g,0.0006837544114115878 g,0.0002848976714214949 g,0.0015142909923018771 g,0.001685229595154774 g,0.00017093860285289695 g,0.0006837544114115878 g,0.0002848976714214949 g,0.0015142909923018771 g,0.001685229595154774 g,0.00034222076013009197 g,54.99999999997177 m⁻²,1.3951659178011206 cm²,1.3951659178011206 cm²,1.0,0.0076734125479022254,1.3951659178011206 cm²,0.0 cm²,227.14900882715264 cm²,225.75384290935153 cm²,8,1,1,0,0,1,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.005933208014956023 g d⁻¹,vegetative,0.45,6.014976421523643e-5 g d⁻¹,0.0005112285761349619 g,0.0 g d⁻¹,0.0010994772151278324 g,0.0016107057912627943 g,0.005170613547984184 g d⁻¹,0.9797485032054936,0.2 hr⁻¹,false,0.0 hr⁻¹,0.19594970064109873 hr⁻¹,0.039 d⁻¹,0.00011590085315791051 g d⁻¹,0.005054712694826274 g d⁻¹,0.7,0.0035382988863783917 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.3209439318185998e-17 d⁻¹,0.9999999999994867,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.007657812049312482,1.560049858974344e-5,413.6012084922154 μmol m⁻² s⁻¹,174.260673123384 μmol m⁻² s⁻¹,0.1257675867739192 μmol m⁻² s⁻¹,0.11676724730674852 μmol m⁻² s⁻¹,0.025691354835447624 mmol m⁻² s⁻¹,0.005933208014956023 g d⁻¹,0.005508608262080619 g d⁻¹,0.7270747738405744 g d⁻¹,1.9752757206071596 kPa,0.24959516740921925 mol bar⁻¹ m⁻² s⁻¹,2040.4488724553132 cm² g⁻¹,0.0004900882416116018 g cm⁻²,9 d,2022-09-15
2022-09-16T12:00:00.000+08:00,0.126,0.2591507710838883 cm²,0.007213542474073909 g d⁻¹,0.0012729780836601015 g d⁻¹,0.005091912334640406 g d⁻¹,0.0021216301394335027 g d⁻¹,0.0028428122480004332 g,1.0,0.001 g,10.0 % d⁻¹,5.0040368141538774e-5 g d⁻¹,0.0005160618747820277 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0004384216038852784 g,0.0017536864155411136 g,0.0007307026731421309 g,0.003000450963465272 g,0.00343887256735055 g,0.0004384216038852784 g,0.0017536864155411136 g,0.0007307026731421309 g,0.003000450963465272 g,0.00343887256735055 g,0.0012957538554194414 g,54.99999999994624 m⁻²,4.094658030231951 cm²,4.094658030231951 cm²,1.0,0.022520619166253718,4.094658030231951 cm²,0.0 cm²,280.16882356322986 cm²,276.07416553299794 cm²,9,1,1,0,0,1,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.02602458025711604 g d⁻¹,vegetative,0.45,5.6303382238033413e-5 g d⁻¹,0.0005445074497980483 g,0.0 g d⁻¹,0.002654108998774097 g,0.003198616448572145 g,0.012353178364980233 g d⁻¹,0.9696583023629606,0.2 hr⁻¹,false,0.0 hr⁻¹,0.19393166047259214 hr⁻¹,0.039 d⁻¹,0.00022957756821735938 g d⁻¹,0.012123600796762873 g d⁻¹,0.7,0.008486520557734011 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.9434147008574453e-17 d⁻¹,0.9999999999990226,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0223856449420158,0.0001349742242379194,1625.2813393066338 μmol m⁻² s⁻¹,682.3371530189393 μmol m⁻² s⁻¹,0.5516490653099756 μmol m⁻² s⁻¹,0.5235967668477813 μmol m⁻² s⁻¹,0.10735052664830819 mmol m⁻² s⁻¹,0.02602458025711604 g d⁻¹,0.024701185840929132 g d⁻¹,3.0380593154561653 g d⁻¹,1.7622126628893335 kPa,0.36203132441136954 mol bar⁻¹ m⁻² s⁻¹,2334.8860970497467 cm² g⁻¹,0.00042828641673936616 g cm⁻²,10 d,2022-09-16
